OBJECTID *,Survey Type,Leak Location,Leak Grade,Marked Flag,Leak Located,Probable Source,Gas In,Surface Type,CGI Test Gas,CGI Test LEL,CGI Test PPM,Detected By,Meter Number,Confirm Meter Number,House Number,Street,Street 2,Apt/Suite,City,Comments,Survey Year,Survey Contractor,Grade 1 Notification,PRESSURETY,CreationDa,Creator,EditDate,Editor,NOTIFICATION,REPORTNUMBER,NOTSTATUS,Work Location,X,Y
21157,3 Year,Underground,Grade 2,No,Main,Main,Street,Tar Mix,79,<Null>,<Null>,Odor,N/A,N/A,2128,35TH AVE N,22nd St. N,<Null>,<Null>,"Cracks in street, on/near gas pipeline, gas odor; 35th Ave & 22nd St Intersection",2020,Southern Cross,<Null>,<Null>,2/26/20 16:09,Jackie.Butts1,2/26/20 16:44,Jackie.Butts1,10579653,9200021157,<Null>,<Null>,-86.825878,33.554992
21158,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,Tar Mix,<Null>,5,<Null>,CGI,N/A,N/A,2505,32ND AVE N,<Null>,<Null>,<Null>,City of Birmingham Sanitary Sewer ,2020,Southern Cross,<Null>,<Null>,2/26/20 20:34,Jackie.Butts1,2/26/20 20:34,Jackie.Butts1,10579654,9200021158,<Null>,<Null>,-86.819847,33.55341
21159,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,<Null>,<Null>,<Null>,50,CGI,<Null>,<Null>,2429,32ND AVE N,<Null>,<Null>,<Null>,"City of Birmingham Storm Sewer, methane detected ",2020,Southern Cross,<Null>,<Null>,2/26/20 20:53,Jackie.Butts1,2/26/20 20:53,Jackie.Butts1,10579655,9200021159,<Null>,<Null>,-86.820429,33.553351
21160,3 Year,Underground,Grade 1,No,Service,Service,10' - 20' FRM Building,Unsurfaced,85,<Null>,<Null>,CGI,<Null>,<Null>,2510,32ND AVE N,<Null>,<Null>,<Null>,"Front yard, gas odor",2020,Southern Cross,<Null>,<Null>,2/26/20 21:18,Jackie.Butts1,2/26/20 21:26,Jackie.Butts1,20521102,9200021160,<Null>,<Null>,-86.819735,33.553603
21163,3 Year,Underground,Grade 3,No,Service Cock,Service,10' - 20' FRM Building,Unsurfaced,<Null>,3,442,CGI,<Null>,<Null>,1808,13TH CT N,<Null>,<Null>,<Null>,SLO,2020,Southern Cross,<Null>,<Null>,2/27/20 13:45,Joel.Gibson1,2/27/20 13:46,Joel.Gibson1,10579656,9200021163,<Null>,<Null>,-86.818553,33.527982
21164,3 Year,Underground,Grade 3,No,Service Riser,Meter,<10' FRM Building,Unsurfaced,<Null>,2,<Null>,CGI,RISER ONLY,RISER ONLY,2417,32ND AVE N,<Null>,<Null>,<Null>,RISER ONLY,2020,Southern Cross,<Null>,<Null>,2/27/20 14:35,Jackie.Butts1,2/27/20 14:35,Jackie.Butts1,10579657,9200021164,<Null>,<Null>,-86.820771,33.552928
21170,3 Year,Underground,Grade 3,No,Valve,Main,Street,Tar Mix,<Null>,4,362,CGI,<Null>,<Null>,2111,15TH AVE N,<Null>,<Null>,<Null>,valve in street by alley way ,2020,Southern Cross,<Null>,<Null>,2/27/20 15:34,Joel.Gibson1,2/27/20 15:34,Joel.Gibson1,10579659,9200021170,<Null>,<Null>,-86.81366,33.53399
21178,3 Year,Underground,Grade 3,No,Service Cock,Service,10' - 20' FRM Building,<Null>,<Null>,2,323,CGI,<Null>,<Null>,1914,19TH CT N,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2/27/20 17:29,Joel.Gibson1,2/27/20 17:30,Joel.Gibson1,10579665,9200021178,<Null>,<Null>,-86.820251,33.536724
21180,3 Year,Underground,Grade 3,No,Service Cock,Service,10' - 20' FRM Building,Unsurfaced,<Null>,4,332,CGI,<Null>,<Null>,1935,21ST AVE N,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2/27/20 18:01,Joel.Gibson1,2/27/20 18:01,Joel.Gibson1,10579666,9200021180,<Null>,<Null>,-86.819412,33.536948
21181,3 Year,Underground,Grade 3,No,Main,Main,Street,Tar Mix,<Null>,4,<Null>,CGI,<Null>,<Null>,3112,25TH ST N,<Null>,<Null>,<Null>,Hole in street,2020,Southern Cross,<Null>,<Null>,2/27/20 18:05,Jackie.Butts1,2/27/20 18:05,Jackie.Butts1,10579667,9200021181,<Null>,<Null>,-86.82023,33.552962
21182,3 Year,Underground,Grade 3,No,Valve,Main,Street,Tar Mix,<Null>,<Null>,150,CGI,<Null>,<Null>,2500,30TH AVE N,<Null>,<Null>,<Null>,Gas valve; SW corner 30th Ave & 25th St,2020,Southern Cross,<Null>,<Null>,2/27/20 18:33,Jackie.Butts1,2/27/20 18:33,Jackie.Butts1,10579668,9200021182,<Null>,<Null>,-86.819445,33.551251
21184,3 Year,Underground,Grade 2,No,Main,Main,Curb,Unsurfaced,78,<Null>,<Null>,CGI,<Null>,<Null>,3100,25TH ST N,31st Ave. N,<Null>,<Null>,"15+ ft. from residence, at curb, gas odor; Intersection of 25th St & 31st Ave",2020,Southern Cross,<Null>,<Null>,2/27/20 19:19,Jackie.Butts1,2/27/20 19:19,Jackie.Butts1,10579670,9200021184,<Null>,<Null>,-86.819927,33.552369
21185,3 Year,Underground,Grade 3,Yes,Main,Main,Curb,Concrete,<Null>,5,442,CGI,<Null>,<Null>,2501,22nd Ave N,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2/28/20 13:31,Joel.Gibson1,2/28/20 13:53,Joel.Gibson1,10579671,9200021185,<Null>,<Null>,-86.814848,33.541704
21187,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,<Null>,2,<Null>,Flame Pack,<Null>,<Null>,2105,25TH ST N,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2/28/20 14:55,Meagan.Howard1,2/28/20 14:55,Meagan.Howard1,10579673,9200021187,<Null>,<Null>,-86.814461,33.540907
21197,3 Year,Underground,Grade 3,No,Valve,Main,10' - 20' FRM Building,Unsurfaced,<Null>,15,<Null>,CGI,<Null>,<Null>,2029,35TH AVE N,<Null>,<Null>,<Null>,Gas valve - front yard near curb,2020,Southern Cross,<Null>,<Null>,2/28/20 17:38,Jackie.Butts1,2/28/20 17:38,Jackie.Butts1,10579680,9200021197,<Null>,<Null>,-86.82735,33.5545
21198,3 Year,Underground,Grade 3,Yes,Main,Main,Street,Unsurfaced,<Null>,3,<Null>,Flame Pack,<Null>,<Null>,2720,21ST AVE N,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2/28/20 18:41,Meagan.Howard1,2/28/20 18:46,Meagan.Howard1,10579681,9200021198,<Null>,<Null>,-86.810709,33.542479
21200,3 Year,Underground,Grade 1,No,Service,Service,10' - 20' FRM Building,Unsurfaced,93,<Null>,<Null>,Odor,N/A,N/A,3633/3635,20th St. N,36th Ave. N.,<Null>,<Null>,"Exposed/damaged gas line, vacant lot, strong gas odor, hissing",2020,Southern Cross,<Null>,<Null>,2/28/20 20:29,Jackie.Butts1,2/28/20 20:53,Jackie.Butts1,10579564,9200021200,<Null>,<Null>,-86.828932,33.554796
21442,3 Year,Underground,Grade 3,Yes,<Null>,Main,Street,Concrete,<Null>,9,<Null>,CGI,<Null>,<Null>,1607,17TH ST N,<Null>,<Null>,<Null>,patch in the street,2020,Southern Cross,<Null>,<Null>,3/9/20 13:13,leighton.landrum1,3/9/20 13:13,leighton.landrum1,10579686,9200021442,<Null>,<Null>,-86.822321,33.530948
21443,3 Year,Underground,Grade 2,Yes,<Null>,Main,Curb,Unsurfaced,6,<Null>,<Null>,Odor,RA2199,RA2199,2403,21ST ST N,<Null>,<Null>,<Null>,"in grass, marked with white paint",2020,Southern Cross,<Null>,<Null>,3/9/20 13:15,Meagan.Howard1,3/9/20 16:57,Meagan.Howard1,10579687,9200021443,<Null>,<Null>,-86.821867,33.542707
21446,3 Year,Underground,Grade 3,No,<Null>,Main,Street,Concrete,<Null>,<Null>,451,CGI,<Null>,<Null>,1512,17TH ST N,15th ct n,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,3/9/20 13:30,leighton.landrum1,3/9/20 13:31,leighton.landrum1,10579688,9200021446,<Null>,<Null>,-86.821662,33.529766
21448,3 Year,Underground,Grade 3,No,Service Riser,Service,<10' FRM Building,Unsurfaced,<Null>,65,442,CGI,BA931784,BA931784,2740,16TH CT N,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,3/9/20 13:43,Joel.Gibson1,3/9/20 14:23,Joel.Gibson1,10580260,9200021448,<Null>,<Null>,-86.807482,33.538608
21449,3 Year,Underground,Grade 3,No,Service Cock,Service,<10' FRM Building,Concrete,<Null>,4,442,CGI,BA756426,BA756426,2732,16TH CT N,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,3/9/20 13:48,Joel.Gibson1,3/9/20 13:48,Joel.Gibson1,10580261,9200021449,<Null>,<Null>,-86.80769,33.538472
21453,3 Year,Underground,Grade 2,Yes,<Null>,Main,Street,Concrete,51,<Null>,<Null>,CGI,<Null>,<Null>,1319,17TH ST N,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,3/9/20 16:06,leighton.landrum1,3/9/20 16:06,leighton.landrum1,10580262,9200021453,<Null>,<Null>,-86.81999,33.527482
21454,3 Year,Underground,Grade 3,Yes,<Null>,Main,Street,Concrete,6,<Null>,<Null>,CGI,<Null>,<Null>,1302,17TH ST N,<Null>,<Null>,<Null>,bar holes in Street,2020,Southern Cross,<Null>,<Null>,3/9/20 16:27,leighton.landrum1,3/9/20 16:27,leighton.landrum1,10580263,9200021454,<Null>,<Null>,-86.819513,33.5267
21457,3 Year,Underground,Grade 2,No,<Null>,Main,Street,Tar Mix,50,<Null>,<Null>,CGI,<Null>,<Null>,2129,31ST AVE N,22nd St. N.,<Null>,<Null>,"Gas detected from cracks/holes in street, near patch in street intersection of 31st Ave & 22nd",2020,Southern Cross,<Null>,<Null>,3/9/20 19:51,Jackie.Butts1,3/9/20 19:51,Jackie.Butts1,10580265,9200021457,<Null>,<Null>,-86.824245,33.55108
21458,3 Year,Underground,Grade 3,No,<Null>,<Null>,Sanitary Manhole,Tar Mix,<Null>,<Null>,50,CGI,<Null>,<Null>,2329,29TH AVE N,<Null>,<Null>,<Null>,Methane detected from sewer manhole in street,2020,Southern Cross,<Null>,<Null>,3/9/20 20:25,Jackie.Butts1,3/9/20 20:25,Jackie.Butts1,10580266,9200021458,<Null>,<Null>,-86.820312,33.549471
21465,3 Year,Underground,Grade 1,No,Valve,Main,<10' FRM Building,<Null>,6,<Null>,<Null>,CGI,Meter - no meter #,Meter - no meter #,2130,29TH AVE N,22nd St. N.,<Null>,<Null>,"Below ground gas valves × 2, ",2020,Southern Cross,<Null>,<Null>,3/10/20 18:23,Jackie.Butts1,3/10/20 18:28,Jackie.Butts1,10580004,9200021465,<Null>,<Null>,-86.823509,33.549244
21466,3 Year,Underground,Grade 2,No,<Null>,Main,10' - 20' FRM Building,Unsurfaced,28,<Null>,<Null>,CGI,N/A,N/A,2130,29TH AVE N,22nd St. N.,<Null>,<Null>,"At curb on/near gas pipeline, next to utility pole",2020,Southern Cross,<Null>,<Null>,3/10/20 18:39,Jackie.Butts1,3/10/20 18:48,Jackie.Butts1,10580268,9200021466,<Null>,<Null>,-86.823402,33.549166
21467,3 Year,Underground,Grade 3,No,<Null>,Regulator Station,20'+ FRM Building,Concrete,<Null>,2,<Null>,CGI,N/A,N/A,2131,29TH AVE N,22nd St. N.,<Null>,<Null>,Regulator station ,2020,Southern Cross,<Null>,<Null>,3/10/20 19:08,Jackie.Butts1,3/10/20 19:08,Jackie.Butts1,10580269,9200021467,<Null>,<Null>,-86.823539,33.548874
21469,3 Year,Underground,Grade 3,No,<Null>,<Null>,20'+ FRM Building,Concrete,<Null>,20,<Null>,CGI,N/A,N/A,2131,29TH AVE N, ,<Null>,<Null>,"Regulator station, unable to access",2020,Southern Cross,<Null>,<Null>,3/10/20 19:11,Jackie.Butts1,3/10/20 19:14,Jackie.Butts1,10580270,9200021469,<Null>,<Null>,-86.823639,33.548932
21470,3 Year,Underground,Grade 2,No,<Null>,Main,20'+ FRM Building,Unsurfaced,35,<Null>,<Null>,CGI,N/A,N/A,2224,29TH AVE N,23rd St. N.,<Null>,<Null>,"Around utility pole, on/near gas pipeline",2020,Southern Cross,<Null>,<Null>,3/10/20 20:22,Jackie.Butts1,3/10/20 20:22,Jackie.Butts1,10580271,9200021470,<Null>,<Null>,-86.821955,33.549602
21471,3 Year,Underground,Grade 3,No,Service,Service,Curb,Unsurfaced,<Null>,18,<Null>,CGI,<Null>,<Null>,1330,32ND ST N,<Null>,<Null>,<Null>,in grass under tree,2020,Southern Cross,<Null>,<Null>,3/11/20 12:53,Joel.Gibson1,3/11/20 12:53,Joel.Gibson1,10580272,9200021471,<Null>,<Null>,-86.799706,33.537492
21476,3 Year,Underground,Grade 1,No,<Null>,Main,10' - 20' FRM Building,Unsurfaced,55,<Null>,<Null>,CGI,N/A - Riser only,N/A - Riser only,2129,31ST AVE N,22nd St. N.,<Null>,<Null>,"On/near gas pipeline, gas detected from water valve box, customer expressed concern ",2020,Southern Cross,<Null>,<Null>,3/11/20 14:26,Jackie.Butts1,3/11/20 15:20,Jackie.Butts1,10580045,9200021476,<Null>,<Null>,-86.824128,33.550751
21480,3 Year,Underground,Grade 3,No,<Null>,Regulator Station,<10' FRM Building,Concrete,<Null>,4,<Null>,CGI,N/A,N/A,2429,29TH AVE N,<Null>,<Null>,<Null>,"Regulator station, gas odor",2020,Southern Cross,<Null>,<Null>,3/11/20 16:50,Jackie.Butts1,3/11/20 16:50,Jackie.Butts1,10580276,9200021480,<Null>,<Null>,-86.818994,33.549879
21483,3 Year,Underground,Grade 2,No,Service Riser,Service,20'+ FRM Building,Unsurfaced,<Null>,92,<Null>,CGI,CZ5946,CZ5946,2716,25TH ST N,<Null>,<Null>,<Null>,"Multiple leaks, gas odor",2020,Southern Cross,<Null>,<Null>,3/11/20 17:16,Jackie.Butts1,3/11/20 17:16,Jackie.Butts1,10580278,9200021483,<Null>,<Null>,-86.818359,33.549448
21484,3 Year,Underground,Grade 3,No,Main,Main,20'+ FRM Building,Concrete,<Null>,8,<Null>,CGI,N/A,N/A,2716,25TH ST N,<Null>,<Null>,<Null>,Brown Machine & Welding,2020,Southern Cross,<Null>,<Null>,3/11/20 17:22,Jackie.Butts1,3/11/20 17:28,Jackie.Butts1,10580279,9200021484,<Null>,<Null>,-86.818538,33.549184
21485,3 Year,Underground,Grade 3,No,<Null>,<Null>,Sanitary Manhole,<Null>,<Null>,<Null>,278,CGI,N/A,N/A,2500,27TH AVE N,25th St. N,<Null>,<Null>,"Sewer, methane detected, unable to lift/remove manhole cover ",2020,Southern Cross,<Null>,<Null>,3/11/20 17:39,Jackie.Butts1,3/11/20 17:39,Jackie.Butts1,10580280,9200021485,<Null>,<Null>,-86.818116,33.548358
21486,3 Year,Underground,Grade 3,No,<Null>,Regulator Station,20'+ FRM Building,Concrete,<Null>,4,<Null>,CGI,N/A,N/A,2620,27TH AVE N,25th St. N.,<Null>,<Null>,"Regulator station, unable to open cover",2020,Southern Cross,<Null>,<Null>,3/11/20 17:50,Jackie.Butts1,3/11/20 17:50,Jackie.Butts1,10580281,9200021486,<Null>,<Null>,-86.817091,33.548626
21494,3 Year,Underground,Grade 1,No,Service,Service,<10' FRM Building,Unsurfaced,39,<Null>,<Null>,CGI,BA439778,BA439778,2509/2517,27TH AVE N,<Null>,<Null>,<Null>,"Below ground near meter, <2' from building, gas odor",2020,Southern Cross,<Null>,<Null>,3/11/20 18:41,Jackie.Butts1,3/11/20 18:57,Jackie.Butts1,10580029,9200021494,<Null>,<Null>,-86.817242,33.548336
21495,3 Year,Underground,Grade 2,No,<Null>,Main,10' - 20' FRM Building,Unsurfaced,82,<Null>,<Null>,CGI,N/A,N/A,2429,29TH AVE N,<Null>,<Null>,<Null>,"Along fence, next to railroad tracks, gas odor",2020,Southern Cross,<Null>,<Null>,3/11/20 19:49,Jackie.Butts1,3/11/20 19:49,Jackie.Butts1,10580284,9200021495,<Null>,<Null>,-86.818848,33.549704
21496,3 Year,Underground,Grade 2,No,<Null>,Main,20'+ FRM Building,Unsurfaced,56,<Null>,<Null>,CGI,N/A,N/A,2501,29TH AVE N,<Null>,<Null>,<Null>,"On/near gas pipeline, near railroad tracks, around train crossing signal, gas odor",2020,Southern Cross,<Null>,<Null>,3/11/20 20:02,Jackie.Butts1,3/11/20 20:02,Jackie.Butts1,10580285,9200021496,<Null>,<Null>,-86.818636,33.549898
21498,3 Year,Underground,Grade 3,No,<Null>,<Null>,Sanitary Manhole,Tar Mix,<Null>,<Null>,70,CGI,N/A,N/A,2500,26TH AVE N,<Null>,<Null>,<Null>,Sewer manhole - methane detected,2020,Southern Cross,<Null>,<Null>,3/11/20 20:18,Jackie.Butts1,3/11/20 20:18,Jackie.Butts1,10580286,9200021498,<Null>,<Null>,-86.817622,33.547158
21499,3 Year,Underground,Grade 3,No,Valve,Main,Street,Tar Mix,<Null>,<Null>,100,CGI,N/A,N/A,2614,25TH ST N,26th Ave. N.,<Null>,<Null>,"Gas valve in street, unable to remove cover ",2020,Southern Cross,<Null>,<Null>,3/11/20 20:27,Jackie.Butts1,3/11/20 20:27,Jackie.Butts1,10580287,9200021499,<Null>,<Null>,-86.817778,33.547245
21509,3 Year,Underground,Grade 2,No,<Null>,Main,20'+ FRM Building,Unsurfaced,68,<Null>,<Null>,CGI,N/A,N/A,2408,26TH AVE N,24th St. N.,<Null>,<Null>,"On/near gas pipeline, 5+ ft. from street, across st from 2408",2020,Southern Cross,<Null>,<Null>,3/12/20 16:46,Jackie.Butts1,3/12/20 16:46,Jackie.Butts1,10580288,9200021509,<Null>,<Null>,-86.818589,33.546845
21511,3 Year,Underground,Grade 2,No,<Null>,Main,10' - 20' FRM Building,Unsurfaced,10,<Null>,<Null>,CGI,N/A,N/A,2612,24TH ST N,<Null>,<Null>,<Null>,"Tri-Fab Steel, sidewalk",2020,Southern Cross,<Null>,<Null>,3/12/20 17:16,Jackie.Butts1,3/12/20 17:16,Jackie.Butts1,10580290,9200021511,<Null>,<Null>,-86.819578,33.547455
21515,3 Year,Underground,Grade 2,No,<Null>,Main,Street,Tar Mix,67,<Null>,<Null>,CGI,N/A,N/A,2300,26TH AVE N,23rd St. N.,<Null>,<Null>,On/near gas pipeline ,2020,Southern Cross,<Null>,<Null>,3/12/20 17:49,Jackie.Butts1,3/12/20 17:51,Jackie.Butts1,10580291,9200021515,<Null>,<Null>,-86.820403,33.546188
21522,3 Year,Underground,Grade 3,No,Service Riser,Service,<10' FRM Building,Unsurfaced,<Null>,15,<Null>,Soap,NA 166,NA 166,2501,27TH ST N,<Null>,<Null>,<Null>,Below service cock,2020,Southern Cross,<Null>,<Null>,3/12/20 19:45,Jackie.Butts1,3/13/20 13:43,Jackie.Butts1,10580292,9200021522,<Null>,<Null>,-86.813788,33.54751
21523,3 Year,Underground,Grade 2,No,<Null>,Main,20'+ FRM Building,Unsurfaced,64,<Null>,<Null>,Odor,N/A,N/A,2500,27TH ST N,25th Court N.,<Null>,<Null>,"25th Ct. N. - around utility pole, buried cable, strong gas odor, behind 2500",2020,Southern Cross,<Null>,<Null>,3/12/20 20:31,Jackie.Butts1,3/12/20 20:37,Jackie.Butts1,10580293,9200021523,<Null>,<Null>,-86.814853,33.547156
21532,3 Year,Underground,Grade 3,No,Nipple,Service,20'+ FRM Building,Unsurfaced,<Null>,2,<Null>,Soap,N/A,N/A,2400,27TH ST N,<Null>,<Null>,<Null>,First cut regulator - union,2020,Southern Cross,<Null>,<Null>,3/13/20 14:10,Jackie.Butts1,3/13/20 14:14,Jackie.Butts1,10580296,9200021532,<Null>,<Null>,-86.813064,33.544541
21545,3 Year,Underground,Grade 2,No,<Null>,Main,Curb,Unsurfaced,62,<Null>,<Null>,CGI,N/A,N/A,2433,CARRAWAY BLVD,Finley Blvd.,<Null>,<Null>,"Gas detected around utility pole at curb, across from convenience store, strong gas odor",2020,Southern Cross,<Null>,<Null>,3/13/20 15:37,Jackie.Butts1,3/13/20 16:21,Jackie.Butts1,10580299,9200021545,<Null>,<Null>,-86.815396,33.54623
21547,3 Year,Underground,Grade 2,No,<Null>,Main,Curb,Unsurfaced,91,<Null>,<Null>,CGI,N/A,N/A,2624,25TH ST N,between 26th Ave. N./25th Ct. N.,<Null>,<Null>,"On/near gas pipeline, vacant lot, buried cable, gas odor, at curb. from cracks in asphalt/street",2020,Southern Cross,<Null>,<Null>,3/13/20 17:08,Jackie.Butts1,3/13/20 17:09,Jackie.Butts1,10580301,9200021547,<Null>,<Null>,-86.817569,33.546625
21548,3 Year,Underground,Grade 2,No,<Null>,Main,Street,Tar Mix,75,<Null>,<Null>,CGI,N/A,N/A,2520,25TH ST N,25th Ct. N.,<Null>,<Null>,"Holes in asphalt, patches in street, gas odor, Int. 25th St & 25th Ct",2020,Southern Cross,<Null>,<Null>,3/13/20 17:17,Jackie.Butts1,3/13/20 17:17,Jackie.Butts1,10580302,9200021548,<Null>,<Null>,-86.817549,33.546318
21550,3 Year,Underground,Grade 3,No,<Null>,<Null>,Sanitary Manhole,Tar Mix,<Null>,4,<Null>,CGI,N/A,N/A,2510,24TH ST N,25th Ct. N.,<Null>,<Null>,City of Birmingham Sewer manhole,2020,Southern Cross,<Null>,<Null>,3/13/20 18:11,Jackie.Butts1,3/13/20 18:11,Jackie.Butts1,10580303,9200021550,<Null>,<Null>,-86.818834,33.545841
21557,3 Year,Underground,Grade 2,No,<Null>,Main,Curb,Unsurfaced,38,<Null>,<Null>,CGI,N/A,N/A,2510,24TH ST N,25th Court N.,<Null>,<Null>,"On/near gas pipeline, at curb, gas odor",2020,Southern Cross,<Null>,<Null>,3/13/20 18:54,Jackie.Butts1,3/13/20 18:54,Jackie.Butts1,10580304,9200021557,<Null>,<Null>,-86.818761,33.545802
21558,3 Year,Underground,Grade 2,No,<Null>,Main,Curb,Unsurfaced,80,<Null>,<Null>,CGI,N/A,N/A,2580,24TH ST N,between 26th Ave. N. and 24th Ct. N.,<Null>,<Null>,"At sidewalk, near Hopewell MBC, bet. 26th Ave  25th Ct",2020,Southern Cross,<Null>,<Null>,3/13/20 19:03,Jackie.Butts1,3/13/20 19:07,Jackie.Butts1,10580305,9200021558,<Null>,<Null>,-86.818959,33.546106
21559,3 Year,Underground,Grade 2,No,<Null>,Main,Curb,Unsurfaced,93,<Null>,<Null>,CGI,N/A,N/A,2580,24TH ST N,between 26th Ave. N. and 25th Ct. N,<Null>,<Null>,"On/near gas pipeline, at utility pole, near Hopewell MBC, bet. 26th Ave  25th Ct",2020,Southern Cross,<Null>,<Null>,3/13/20 19:14,Jackie.Butts1,3/13/20 19:14,Jackie.Butts1,10580306,9200021559,<Null>,<Null>,-86.818987,33.546253
