X1,FID_spireM,OBJECTID,LEAKSURVEY,LEAKSURV_1,LASTSURVEY,LEAKSURV_2,SURVEYAREA,TARGETMONT,COMMENTS,SURVEYCYCL,HCA,SHAPE_Leng,Polygon,FID_techFi,OBJECTID__,Survey_Typ,Leak_Locat,Leak_Grade,Marked_Fla,Leak_Loc_1,Probable_S,Gas_In,Surface_Ty,CGI_Test_G,CGI_Test_L,CGI_Test_P,Detected_B,Meter_Numb,Confirm_Me,House_Numb,Street,Street_2,Apt_Suite,City,Comments_1,Survey_Yea,Survey_Con,Grade_1_No,PRESSURETY,CreationDa,Creator,EditDate,NOTIFICATI,REPORTNUMB,NOTSTATUS,Work_Locat,X,Y
36,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,43,21125,3 Year,Underground,Grade 3,No,Meter,Meter,<10' FRM Building,Unsurfaced,<Null>,<Null>,50,CGI,<Null>,<Null>,2311,36TH AVE N,<Null>,<Null>,<Null>,Gas detected under house - unable to access meter,2020,Southern Cross,<Null>,<Null>,2020-02-25,Jackie.Butts1,2020-02-25,10579359,9200021125,<Null>,<Null>,-86.82421,33.556309000000006
37,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,111,21561,3 Year,Underground,Grade 1,No,Meter,Meter,<Null>,Unsurfaced,2,<Null>,<Null>,CGI,<Null>,gas reading inside the house meter locate under ho,2311,36TH AVE N,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2020-03-02,leighton.landrum1,2020-03-02,10579608,9200021561,<Null>,<Null>,-86.82426600000001,33.556461
38,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,42,21124,3 Year,Underground,Grade 3,No,Meter,Meter,<10' FRM Building,Unsurfaced,<Null>,<Null>,107,CGI,BA647434,BA647434,2317,36TH AVE N,<Null>,<Null>,<Null>,Customer side,2020,Southern Cross,<Null>,<Null>,2020-02-25,Jackie.Butts1,2020-02-25,10579358,9200021124,<Null>,<Null>,-86.824093,33.556523999999996
39,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,26,20843,3 Year,Underground,Grade 1,No,Service,Service,<10' FRM Building,Unsurfaced,25,<Null>,<Null>,CGI,RA2302,RA2302,3424,26TH ST N,35th Ave. N,<Null>,Birmingham,"Masjidul Qur'an, <10 ft. from building, strong gas odor",2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,10578961,9200020843,<Null>,<Null>,-86.820323,33.556554
40,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,44,21128,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,Tar Mix,<Null>,<Null>,50,CGI,<Null>,<Null>,2240,36TH AVE N,<Null>,<Null>,<Null>,City of Birmingham Sanitary Sewer - methane detected,2020,Southern Cross,<Null>,<Null>,2020-02-25,Jackie.Butts1,2020-02-25,10579630,9200021128,<Null>,<Null>,-86.824455,33.556554999999996
41,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,41,20878,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,Tar Mix,<Null>,<Null>,190,CGI,<Null>,<Null>,3520,27TH ST N,<Null>,<Null>,Birmingham,City of Birmingham Sanitary Sewer,2020,Southern Cross,<Null>,<Null>,2020-02-21,Jackie.Butts1,2020-02-21,10579354,9200020878,<Null>,<Null>,-86.82032099999999,33.557188000000004
42,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,5,20494,3 Year,Underground,Grade 1,No,<Null>,Service,Foundation,Concrete,25,93,<Null>,CGI,<Null>,<Null>,2725,35th Ave. N,<Null>,<Null>,BIRMINGHAM,"Foundation, asphalt, less than 5 ft. from building, strong gas odor, barholes - foundation, asphalt",2020,Southern Cross,<Null>,<Null>,2020-02-13,Jackie.Butts1,2020-02-14,10578710,9200020494,<Null>,<Null>,-86.817458,33.557359999999996
43,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,4,20488,3 Year,Underground,Grade 3,No,<Null>,Main,Sanitary Manhole,Tar Mix,<Null>,<Null>,50,CGI,<Null>,<Null>,3410,28TH PL N,<Null>,<Null>,BIRMINGHAM,"Methane detected, City of Birmingham Sanitary Sewer",2020,Southern Cross,<Null>,<Null>,2020-02-12,Jackie.Butts1,2020-02-12,10578863,9200020488,<Null>,<Null>,-86.81576700000001,33.557408
44,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,8,20507,3 Year,Underground,Grade 3,No,<Null>,Main,Street,Tar Mix,<Null>,5,<Null>,CGI,<Null>,<Null>,2803,35TH AVE N,28th St. N,<Null>,BIRMINGHAM,At intersection of 35th Ave & 28th St,2020,Southern Cross,<Null>,<Null>,2020-02-14,Jackie.Butts1,2020-02-14,10578875,9200020507,<Null>,<Null>,-86.817132,33.557496
45,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,46,21132,3 Year,Underground,Grade 2,No,Service,Service,10' - 20' FRM Building,Unsurfaced,<Null>,52,<Null>,CGI,BA775394,BA775394,3618,24TH ST N,<Null>,<Null>,<Null>,"<10+ ft. from residence, gas odor",2020,Southern Cross,<Null>,<Null>,2020-02-25,Jackie.Butts1,2020-02-25,10579633,9200021132,<Null>,<Null>,-86.823676,33.557532
46,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,40,20872,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,Tar Mix,<Null>,<Null>,250,CGI,<Null>,<Null>,2525,36TH AVE N,Carraway Blvd,<Null>,Birmingham,City of Birmingham Sanitary Sewer; intersection of 36th Ave & Carraway Blvd,2020,Southern Cross,<Null>,<Null>,2020-02-21,Jackie.Butts1,2020-02-21,10579348,9200020872,<Null>,<Null>,-86.820465,33.557618
47,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,2,20485,3 Year,Underground,Grade 2,No,<Null>,Main,10' - 20' FRM Building,Unsurfaced,20,<Null>,<Null>,CGI,<Null>,<Null>,2827,35TH AVE N,28th PL N,<Null>,BIRMINGHAM,"Around utility pole, near United Steelworkers building, gas odor",2020,Southern Cross,<Null>,<Null>,2020-02-12,Jackie.Butts1,2020-02-12,10578860,9200020485,<Null>,<Null>,-86.81598100000001,33.557805
48,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,3,20487,3 Year,Underground,Grade 2,No,<Null>,Main,Curb,Concrete,<Null>,2,<Null>,CGI,<Null>,<Null>,2825,35TH AVE N,<Null>,<Null>,BIRMINGHAM,"Around stop sign, 2% LEL surface, 20+ from building, unable to make barhole in concrete",2020,Southern Cross,<Null>,<Null>,2020-02-12,Jackie.Butts1,2020-02-12,10578862,9200020487,<Null>,<Null>,-86.81581700000001,33.557840999999996
49,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,39,20869,3 Year,Underground,Grade 3,No,Main,Main,Street,Tar Mix,<Null>,<Null>,50,CGI,<Null>,<Null>,2418,37TH AVE N,24th St,<Null>,Birmingham,Bell System manhole cover; intersection of 24th St &37th Ave,2020,Southern Cross,<Null>,<Null>,2020-02-21,Jackie.Butts1,2020-02-21,10579346,9200020869,<Null>,<Null>,-86.82347,33.557926
50,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,35,20854,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,<Null>,33,<Null>,CGI,<Null>,<Null>,2844,35TH AVE N,<Null>,<Null>,Birmingham,Below ground - on/near gas pipeline,2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,10579334,9200020854,<Null>,<Null>,-86.814595,33.558309
51,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,33,20851,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,Tar Mix,<Null>,4,<Null>,CGI,<Null>,<Null>,2848,35TH AVE N,<Null>,<Null>,Birmingham,City of Birmingham Sanitary Sewer,2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,10579331,9200020851,<Null>,<Null>,-86.814375,33.5584
52,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,34,20852,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,<Null>,30,<Null>,CGI,<Null>,<Null>,2844,35TH AVE N,<Null>,<Null>,Birmingham,"Below ground - on/near gas pipeline, <5' from street, near fire hydrant",2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,10579332,9200020852,<Null>,<Null>,-86.81455600000001,33.558428
53,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,32,20850,3 Year,Underground,Grade 3,No,Valve,Main,10' - 20' FRM Building,Unsurfaced,<Null>,5,<Null>,CGI,<Null>,<Null>,2848,35TH AVE N,<Null>,<Null>,Birmingham,Gas valve/substructure,2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,10579330,9200020850,<Null>,<Null>,-86.81437199999999,33.558465000000005
54,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,20,20819,3 Year,Underground,Grade 1,No,Service,Service,<10' FRM Building,Unsurfaced,29,<Null>,<Null>,CGI,RISER ONLY,RISER ONLY,3530,27TH ST N,<Null>,<Null>,Birmingham,"<5 ft. from residence, gas odor, customers complain of gas odor",2020,Southern Cross,<Null>,<Null>,2020-02-17,Jackie.Butts1,2020-02-17,10578830,9200020819,<Null>,<Null>,-86.819414,33.558496000000005
55,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,14,20811,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,Concrete,<Null>,<Null>,281,CGI,<Null>,<Null>,2616,37TH AVE N,<Null>,<Null>,Birmingham,"City of Birmingham Sanitary Sewer, methane detected",2020,Southern Cross,<Null>,<Null>,2020-02-17,Jackie.Butts1,2020-02-17,10579301,9200020811,<Null>,<Null>,-86.82019100000001,33.558817
56,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,31,20849,3 Year,Underground,Grade 3,No,Main,Main,Curb,Concrete,<Null>,14,<Null>,CGI,<Null>,<Null>,2864,35TH AVE N,<Null>,<Null>,Birmingham,"Storm drain, on/near gas pipeline, strong gas odor",2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,10579329,9200020849,<Null>,<Null>,-86.81272,33.558962
57,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,30,20848,3 Year,Underground,Grade 3,No,Main,Main,Street,Unsurfaced,7,<Null>,<Null>,CGI,<Null>,<Null>,2892,35TH AVE N,<Null>,<Null>,Birmingham,On/near gas pipeline - between street and sidewalk,2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,10579328,9200020848,<Null>,<Null>,-86.81232,33.559053999999996
58,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,29,20847,3 Year,Underground,Grade 3,No,Main,Main,10' - 20' FRM Building,Concrete,<Null>,10,<Null>,CGI,<Null>,<Null>,2892,35TH AVE N,NA,<Null>,Birmingham,"Drainage ditch, gas odor",2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,10579327,9200020847,<Null>,<Null>,-86.812213,33.559118
59,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,28,20846,3 Year,Underground,Grade 3,No,Main,Main,Curb,Concrete,<Null>,5,<Null>,CGI,<Null>,<Null>,2894,35TH AVE N,29th St. N,<Null>,Birmingham,"Gas detected from storm drain, on/near main; BSE Industrial Contractors",2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,10579326,9200020846,<Null>,<Null>,-86.811662,33.559253000000005
60,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,6,20502,3 Year,Underground,Grade 3,No,<Null>,Main,10' - 20' FRM Building,Concrete,<Null>,<Null>,200,CGI,<Null>,<Null>,2722,37TH AVE N,28th St. N,<Null>,BIRMINGHAM,"Gas detected in storm drain, gas odor, gas detected in air",2020,Southern Cross,<Null>,<Null>,2020-02-13,Jackie.Butts1,2020-02-13,10578872,9200020502,<Null>,<Null>,-86.817986,33.559506
61,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,15,20812,3 Year,Underground,Grade 3,No,Service Riser,Service,<10' FRM Building,Unsurfaced,<Null>,4,<Null>,CGI,CB31648,CB31648,3711,27TH ST N,<Null>,<Null>,Birmingham,Riser/below shut off/service cock,2020,Southern Cross,<Null>,<Null>,2020-02-17,Jackie.Butts1,2020-02-17,10579302,9200020812,<Null>,<Null>,-86.819459,33.559703000000006
62,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,38,20867,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,15,<Null>,<Null>,CGI,<Null>,<Null>,3922,24TH ST N,<Null>,<Null>,Birmingham,"Under sidewalk. no gas odor, >50+ from buildings/residences; near Carver HS",2020,Southern Cross,<Null>,<Null>,2020-02-21,Jackie.Butts1,2020-02-21,10579344,9200020867,<Null>,<Null>,-86.82296,33.560294
63,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,37,20858,3 Year,Underground,Grade 3,No,Service Cock,Service,<10' FRM Building,Unsurfaced,<Null>,<Null>,172,CGI,BA808176,BA808176,2442,39TH AVE N,<Null>,<Null>,Birmingham,Service cock/shut off/union,2020,Southern Cross,<Null>,<Null>,2020-02-21,Jackie.Butts1,2020-02-21,10579335,9200020858,<Null>,<Null>,-86.821875,33.560421999999996
64,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,12,20806,3 Year,Underground,Grade 3,No,Main,Main,Street,Concrete,<Null>,6,<Null>,CGI,<Null>,<Null>,2725,38TH AVE N,<Null>,<Null>,Birmingham,"Cracks/patch in street, 10+ ft. from residence, gas odor",2020,Southern Cross,<Null>,<Null>,2020-02-17,Jackie.Butts1,2020-02-17,10578697,9200020806,<Null>,<Null>,-86.818704,33.560488
65,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,11,20805,3 Year,Underground,Grade 3,No,Main,Main,Street,Tar Mix,<Null>,4,<Null>,CGI,<Null>,<Null>,2729,38TH AVE N,<Null>,<Null>,Birmingham,Hole in street on/near gas pipeline,2020,Southern Cross,<Null>,<Null>,2020-02-17,Jackie.Butts1,2020-02-17,10578696,9200020805,<Null>,<Null>,-86.81869499999999,33.560507
66,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,13,20807,3 Year,Underground,Grade 2,No,Main,Main,Street,Tar Mix,16,<Null>,<Null>,CGI,<Null>,<Null>,2725,38TH AVE N,<Null>,<Null>,Birmingham,"Crack/patch in street, 10+ ft. from residence, gas odor, highest reading = 30% gas",2020,Southern Cross,<Null>,<Null>,2020-02-17,Jackie.Butts1,2020-02-17,10578698,9200020807,<Null>,<Null>,-86.81876199999999,33.56055
67,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,9,20509,3 Year,Underground,Grade 2,No,<Null>,Main,Street,Tar Mix,12,<Null>,<Null>,CGI,<Null>,<Null>,2729,38TH AVE N,28th St. N,<Null>,BIRMINGHAM,"Hole in street along gas pipeline, 15+ from residences; Intersection 38th Ave & 28th St",2020,Southern Cross,<Null>,<Null>,2020-02-14,Jackie.Butts1,2020-02-14,10578876,9200020509,<Null>,<Null>,-86.81843,33.560598999999996
68,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,36,20856,3 Year,Underground,Grade 1,No,Service,Service,<10' FRM Building,Unsurfaced,<Null>,75,<Null>,Soap,BA819200,BA819200,2458,39TH AVE N,<Null>,<Null>,Birmingham,"Exposed/damaged gas line, gas odor, hissing, residence is vacant/unoccupied",2020,Southern Cross,<Null>,<Null>,2020-02-19,Jackie.Butts1,2020-02-19,10578983,9200020856,<Null>,<Null>,-86.821466,33.560653
69,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,10,20511,3 Year,Underground,Grade 1,No,<Null>,Service,<10' FRM Building,Unsurfaced,40,<Null>,<Null>,CGI,BA787681,BA787681,2712,38th Ave. N,<Null>,<Null>,BIRMINGHAM,"Below ground - on/near service to meter, <5 ft. from residence, highest reading = 78% gas",2020,Southern Cross,<Null>,<Null>,2020-02-14,Jackie.Butts1,2020-02-14,10578764,9200020511,<Null>,<Null>,-86.818611,33.560815999999996
70,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,135,21805,3 Year,Underground,Grade 2,No,<Null>,Main,10' - 20' FRM Building,Unsurfaced,20,<Null>,<Null>,CGI,NA,NA,4008,24t St N,<Null>,<Null>,<Null>,"At street, on/near gas pipeline, near Big B Food Mart, in front of vacant building",2020,Southern Cross,<Null>,<Null>,2020-03-17,Jackie.Butts1,2020-03-17,10580637,9200021805,<Null>,<Null>,-86.823409,33.562211
71,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,138,21827,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,Tar Mix,<Null>,2,<Null>,CGI,NA,NA,4105,23RD LN N,<Null>,<Null>,<Null>,Methane detected - City of Birmingham Sanitary Sewer,2020,Southern Cross,<Null>,<Null>,2020-03-18,Jackie.Butts1,2020-03-18,10580645,9200021827,<Null>,<Null>,-86.823219,33.564946
72,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,139,21828,3 Year,Underground,Grade 2,No,<Null>,Main,20'+ FRM Building,Unsurfaced,21,<Null>,<Null>,CGI,NA,NA,4112,23RD LN N,<Null>,<Null>,<Null>,"On/near gas pipeline, near fire hydrant/utility pole, gas odor",2020,Southern Cross,<Null>,<Null>,2020-03-18,Jackie.Butts1,2020-03-18,10580646,9200021828,<Null>,<Null>,-86.823228,33.565061
